,acc,prec,recall,f1-score,brier,roc_auc,pr
mean,0.607576888319789,0.7284923126847773,0.8463599937700649,0.7824030028435306,0.20454547939431822,0.6887726440643314,0.8040171376137565
lower_CI,0.5619738234891222,0.6833516483516484,0.7759800829127613,0.7467698671751285,0.18393574762661843,0.6424736428456467,0.7464349432419272
upper_CI,0.6804462643856278,0.7728302388148935,0.9201950998185118,0.8220768677857173,0.2232476856667709,0.7456492579908677,0.845997600670359
