,acc,prec,recall,f1-score,brier,roc_auc,pr
0,0.6803456661455619,0.7180851063829787,0.7105263157894737,0.7142857142857143,0.21629103906790415,0.716718777140872,0.741651878734776
1,0.6686668295616871,0.7154255319148937,0.7154255319148937,0.7154255319148938,0.2099074813191322,0.7236673934290656,0.765205651008403
2,0.642577973841034,0.6740331491712708,0.6892655367231638,0.6815642458100559,0.21759702173726472,0.7129575884219487,0.7524587178352768
3,0.676926661075389,0.6866359447004609,0.8164383561643835,0.7459324155193993,0.20850804735279996,0.7357888360823781,0.7533103549989142
4,0.6862582781456954,0.7142857142857143,0.75,0.7317073170731706,0.1996746256018333,0.7550801673056813,0.7825269600628828
5,0.6428718812868615,0.670076726342711,0.7005347593582888,0.684967320261438,0.22417591782673654,0.7057147033031277,0.7372377705539356
6,0.6676614041843152,0.7026315789473684,0.7196765498652291,0.7110519307589879,0.20780193375735775,0.732832755743807,0.7663963004866308
7,0.6756881795049734,0.7375328083989501,0.7150127226463104,0.7260981912144703,0.20219711222375608,0.7420032384917882,0.7963807889104784
8,0.6323483910891089,0.6682926829268293,0.7135416666666666,0.6901763224181361,0.21530538101339639,0.7155699944994499,0.7633670148937688
9,0.642249625148648,0.6613636363636364,0.7698412698412699,0.7114914425427873,0.21699662643392678,0.71452699791462,0.7597112465959819
10,0.6744834075199941,0.6915422885572139,0.7595628415300546,0.7239583333333333,0.2046718851918654,0.7436036622878441,0.7760616549618933
11,0.6731770833333334,0.7168367346938775,0.7317708333333334,0.7242268041237112,0.20415162617738986,0.7371871383101852,0.7849994334491115
12,0.6667588546564154,0.6860158311345647,0.7262569832402235,0.7055630936227951,0.20595699070602103,0.7391264266091414,0.7573363733629825
13,0.6483639765996876,0.6820388349514563,0.7453580901856764,0.7122940430925222,0.20991353140729355,0.7274444969296174,0.7709959559037807
14,0.642738726790451,0.7033898305084746,0.6604774535809018,0.6812585499316005,0.21252904533337222,0.7198749526335734,0.7687011139740207
15,0.6348552631578948,0.6787709497206704,0.648,0.6630286493860846,0.21985035336695324,0.7066052631578947,0.7444563890028808
16,0.6492053413376433,0.6896551724137931,0.7103825136612022,0.6998654104979812,0.21249027533637857,0.7213307165396751,0.7571258661121413
17,0.6597997892518441,0.7105263157894737,0.6657534246575343,0.6874115983026875,0.21824909685871793,0.7046125107768944,0.7421349344971954
18,0.656584089065841,0.7132530120481928,0.7474747474747475,0.7299630086313194,0.20930351691370033,0.7236230922362308,0.7947237106620968
19,0.6793127147766322,0.7171717171717171,0.7319587628865979,0.7244897959183673,0.1969550512092103,0.7620618556701031,0.7996917801133402
20,0.654520023557126,0.7064935064935065,0.7083333333333334,0.7074122236671002,0.21112780169700468,0.722624042991755,0.7745342560286143
21,0.6709481155991213,0.7037037037037037,0.726775956284153,0.7150537634408601,0.2073708982523876,0.7335361388090812,0.7779769273041304
22,0.6472101449275363,0.6789473684210526,0.7010869565217391,0.6898395721925134,0.21554259743100943,0.7160054347826087,0.7425228247986809
23,0.6844309764309764,0.7131979695431472,0.7493333333333333,0.730819245773732,0.20322130095892776,0.7421863075196409,0.7825134846711441
24,0.6667749021105911,0.7119565217391305,0.7081081081081081,0.7100271002710027,0.20959317796067978,0.7254798968579887,0.7754056534463298
25,0.6647090456243632,0.690537084398977,0.743801652892562,0.7161803713527852,0.2021590577215937,0.7473583908826749,0.7658485427023223
