,acc,prec,recall,f1-score,brier,roc_auc,pr
0,0.6586010690269555,0.6715328467153284,0.6715328467153284,0.6715328467153284,0.21831471275932043,0.7113052474280132,0.7071726949136523
1,0.684863523573201,0.7122302158273381,0.6923076923076923,0.7021276595744681,0.20469254307575777,0.7417099030002255,0.7652384200684496
2,0.6610663082437276,0.6962962962962963,0.6527777777777778,0.6738351254480287,0.22182228095788492,0.6966845878136201,0.7114244382206066
3,0.658109950022717,0.6888888888888889,0.6549295774647887,0.6714801444043321,0.22626871769323248,0.6853134938664243,0.6937214050159379
4,0.6495164524118411,0.688,0.6187050359712231,0.6515151515151516,0.2244913519493848,0.6931831583913197,0.711817063107172
5,0.6599937343358395,0.6821705426356589,0.6616541353383458,0.6717557251908397,0.21973900215961992,0.7013157894736841,0.7245771590112551
6,0.6468181818181818,0.6694214876033058,0.6136363636363636,0.6403162055335969,0.2233040643292365,0.6963030303030302,0.7053220177142733
7,0.6737751531058618,0.7131782945736435,0.6388888888888888,0.673992673992674,0.2157936036792484,0.7142935258092739,0.7211543023062845
8,0.6550117858345493,0.7101449275362319,0.6490066225165563,0.6782006920415226,0.21850174643716863,0.7026041082051858,0.740065945493934
9,0.6636095643629217,0.6808510638297872,0.676056338028169,0.6784452296819787,0.22359891897059977,0.692488262910798,0.6915454851951586
10,0.655883486592148,0.6838235294117647,0.6503496503496503,0.6666666666666666,0.21335157744485242,0.7189031440999947,0.7322715196719021
11,0.6663602941176471,0.6764705882352942,0.6764705882352942,0.6764705882352942,0.21253441017549926,0.7304113051470589,0.7360000969813963
12,0.6689342403628118,0.7121212121212122,0.6394557823129252,0.6738351254480287,0.21277164739737545,0.7162293488824101,0.7605088887550873
13,0.6837635869565217,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.21541822679976186,0.7166553442028987,0.7075529708760699
14,0.7119143916413886,0.7293233082706767,0.7028985507246377,0.7158671586715867,0.19756332095741685,0.7608695652173912,0.7676220317477982
15,0.6651917404129793,0.7164179104477612,0.6666666666666666,0.6906474820143884,0.21911024648548091,0.7007128810226155,0.7436576050639584
16,0.6805555555555556,0.708029197080292,0.6736111111111112,0.6903914590747332,0.2072230955485689,0.7344835069444446,0.7510606805083694
17,0.6875776397515527,0.7194244604316546,0.7142857142857143,0.7168458781362007,0.20732063667406786,0.7321118012422361,0.7451551790062906
18,0.6616608796296296,0.6742424242424242,0.6592592592592592,0.6666666666666666,0.22141105022377874,0.7020254629629629,0.6941768907437855
19,0.6478991596638655,0.6814814814814815,0.6571428571428571,0.6690909090909091,0.2287201401069283,0.6774909963985594,0.7091404544066952
20,0.6539337212243865,0.6982758620689655,0.6044776119402985,0.6480000000000001,0.21864517830600044,0.7036428029344801,0.7204482853080655
21,0.6863357564743299,0.7265625,0.6549295774647887,0.6888888888888889,0.20995425777762267,0.7301794638800545,0.7325901589134957
22,0.6928492327163424,0.7246376811594203,0.6802721088435374,0.7017543859649122,0.2117845429495897,0.7205610926541158,0.7209634762899821
23,0.6593376094732947,0.6850393700787402,0.6492537313432836,0.6666666666666666,0.22319290817935722,0.6948316269890218,0.7032285419705039
24,0.6864707872772389,0.7218045112781954,0.6713286713286714,0.6956521739130435,0.21006058630801394,0.725580870742161,0.7270115214807154
25,0.6926956733106466,0.7175572519083969,0.6911764705882353,0.704119850187266,0.21268126972648538,0.7244166261545941,0.7113601187137722
26,0.6722807227473974,0.7,0.6642335766423357,0.6816479400749063,0.2171750027272091,0.7125164532727055,0.7185468459220794
27,0.6816810344827586,0.7101449275362319,0.6758620689655173,0.6925795053003534,0.2137739890901273,0.7216594827586208,0.7340974245114786
28,0.660271546635183,0.6976744186046512,0.6428571428571429,0.6691449814126395,0.2220298999762583,0.6929752066115703,0.7108805381054348
29,0.6825396825396826,0.7246376811594203,0.6666666666666666,0.6944444444444444,0.21262178016766534,0.7162962962962962,0.7419967782234198
30,0.6875,0.7286821705426356,0.6666666666666666,0.6962962962962963,0.2079673998163413,0.7342789598108747,0.7407956752009648
31,0.6868715434891906,0.7142857142857143,0.6985294117647058,0.7063197026022305,0.20945672213016683,0.7279411764705882,0.7624035339595798
32,0.6763085399449036,0.7205882352941176,0.6666666666666666,0.6925795053003533,0.211968842900313,0.7217068645640075,0.7459120454673277
33,0.6643018654607122,0.706766917293233,0.6482758620689655,0.6762589928057554,0.21327626483437306,0.7181458451102318,0.7339357716775448
34,0.6848639455782313,0.7384615384615385,0.6530612244897959,0.6931407942238268,0.21500627323179286,0.71281179138322,0.7214266918094915
35,0.6842028985507247,0.7037037037037037,0.6884057971014492,0.6959706959706959,0.21141109922810777,0.7305507246376812,0.7247711508430207
36,0.6615910143584993,0.6766917293233082,0.6617647058823529,0.6691449814126393,0.2219132555571489,0.7044928207503472,0.695565794711688
37,0.6876640419947506,0.7175572519083969,0.6666666666666666,0.6911764705882353,0.2116359001173421,0.7260847713184788,0.730906562323177
38,0.6632322555425252,0.7049180327868853,0.6099290780141844,0.6539923954372624,0.215691255554091,0.7180432233204892,0.7264351251349406
39,0.6574232568754992,0.6821705426356589,0.6376811594202898,0.6591760299625468,0.22686885879801966,0.6856099509300468,0.6633652956837341
40,0.680879473028307,0.7045454545454546,0.6788321167883211,0.6914498141263941,0.21275976232845636,0.7233992047949677,0.7369970142037006
41,0.628250155780887,0.6515151515151515,0.6187050359712231,0.6346863468634686,0.23152411703270645,0.670650880870107,0.6825777009912839
42,0.6672846237731733,0.676056338028169,0.6857142857142857,0.6808510638297872,0.219937215586751,0.7083969465648856,0.7147083823368368
