,acc,prec,recall,f1-score,brier,roc_auc,pr
0,0.5,0.6536796536796536,1.0,0.7905759162303665,0.22254956435812365,0.5794701986754967,0.6948531242532483
1,0.5,0.6483050847457628,1.0,0.7866323907455013,0.2271985659504046,0.566107567525002,0.6803578594067001
2,0.5,0.6638297872340425,1.0,0.7979539641943734,0.21844716041800896,0.5943281402142162,0.7116524668708093
3,0.5,0.6828193832599119,1.0,0.8115183246073299,0.21575823815626882,0.5829301075268817,0.7325896970782733
4,0.5,0.6711711711711712,1.0,0.8032345013477089,0.22742490224553646,0.5203181024179462,0.6832064312051376
5,0.5,0.7022222222222222,1.0,0.8250652741514359,0.20537176348150835,0.598904213111657,0.7539343838801345
6,0.5,0.6926406926406926,1.0,0.8184143222506393,0.209951956702727,0.6131602112676056,0.7600480175235077
7,0.5,0.6926406926406926,1.0,0.8184143222506393,0.2093655410845213,0.578169014084507,0.7350343497082628
8,0.5,0.6753246753246753,1.0,0.8062015503875969,0.21041709783365659,0.652991452991453,0.7658412128283003
9,0.5,0.6622807017543859,1.0,0.7968337730870712,0.2215549459071412,0.592887245205126,0.7203050793105708
10,0.5,0.7203389830508474,1.0,0.8374384236453203,0.1963999467610281,0.6135026737967915,0.7797248015464743
11,0.5,0.6606334841628959,1.0,0.7956403269754769,0.21676834335048306,0.6163013698630138,0.728081071844012
12,0.5,0.6872246696035242,1.0,0.814621409921671,0.20958533841079682,0.6011646803900326,0.7418013895700162
13,0.5,0.6528925619834711,1.0,0.79,0.22564905770514435,0.5650994575045207,0.6887950991916559
14,0.5,0.6652360515021459,1.0,0.7989690721649485,0.22263985185605245,0.5800661703887511,0.7111703313259616
15,0.5,0.6709401709401709,1.0,0.80306905370844,0.21773346987611666,0.5686988171064604,0.708927899714832
16,0.5,0.6788990825688074,1.0,0.8087431693989072,0.21252169486309475,0.6032818532818534,0.7358900502769452
17,0.5,0.6751054852320675,1.0,0.8060453400503779,0.2153748980376807,0.5946428571428571,0.7285334039060187
18,0.5,0.7074235807860262,1.0,0.8286445012787723,0.2081406196129013,0.5742122719734659,0.7455785853408367
19,0.5,0.6872246696035242,1.0,0.814621409921671,0.21171362859630402,0.5799024918743229,0.7290803136284323
20,0.5,0.6986301369863014,1.0,0.8225806451612903,0.20462472359901332,0.6853337294513765,0.7965347731371273
21,0.5,0.670995670995671,1.0,0.8031088082901555,0.23122822871455886,0.5367996604414261,0.6855436550962045
22,0.5,0.6740088105726872,1.0,0.8052631578947368,0.2258538839429386,0.5548489666136724,0.7126224801481297
23,0.5,0.6594827586206896,1.0,0.7948051948051948,0.22769799429208626,0.5428145941921072,0.6816612332025569
24,0.5,0.6790697674418604,1.0,0.8088642659279778,0.21752496627324805,0.5573257891602145,0.7098619563665125
25,0.5,0.6801801801801802,1.0,0.8096514745308312,0.21601878769163818,0.5638932935360508,0.7107389186004867
26,0.5,0.6637554585152838,1.0,0.7979002624671916,0.21713957721587798,0.6056049213943951,0.7216930930193686
27,0.5,0.6403508771929824,1.0,0.7807486631016043,0.23009198419343835,0.5603909121282994,0.6724933526857314
28,0.5,0.6401673640167364,1.0,0.7806122448979592,0.23324014489484304,0.5530475756193951,0.6678592209095479
29,0.5,0.6502242152466368,1.0,0.7880434782608696,0.22166947669019846,0.6164456233421751,0.7213754316622378
30,0.5,0.6652173913043479,1.0,0.7989556135770236,0.21477752801050687,0.6210847975553858,0.7413130111942564
31,0.5,0.6709401709401709,1.0,0.80306905370844,0.21842231403948456,0.5811481512118455,0.7176458537923506
32,0.5,0.6743119266055045,1.0,0.8054794520547944,0.2125738377522277,0.6250359298649037,0.7429475478550835
33,0.5,0.6816143497757847,1.0,0.8106666666666666,0.21309779556528582,0.6009080800593032,0.7320314875356926
34,0.5,0.6355555555555555,1.0,0.7771739130434783,0.2274014359307988,0.5869009039740747,0.6848446530638312
35,0.5,0.6666666666666666,1.0,0.8,0.2191408888760012,0.5960888888888889,0.7142801793912374
36,0.5,0.7004608294930875,1.0,0.8238482384823848,0.2025248846318609,0.661740890688259,0.7875332119910045
37,0.5,0.6858407079646017,1.0,0.8136482939632546,0.21278034007878766,0.5804634257155838,0.7304269162227647
38,0.5,0.6991150442477876,1.0,0.8229166666666666,0.20339570812066884,0.6421723752792257,0.7740616952975499
39,0.5,0.6445497630331753,1.0,0.7838616714697406,0.22682917715253284,0.5802941176470588,0.6867256438532885
40,0.5,0.6680497925311203,1.0,0.8009950248756219,0.2196022167932517,0.566304347826087,0.7008900672090652
41,0.5,0.6367713004484304,1.0,0.7780821917808218,0.230738471253834,0.5688575899843504,0.6758377930097218
42,0.5,0.672566371681416,1.0,0.8042328042328042,0.21702153921432835,0.5748577524893315,0.7112341947621379
43,0.5,0.665158371040724,1.0,0.7989130434782609,0.22187156479259423,0.5677973892259606,0.7088730508579462
44,0.5,0.6757990867579908,1.0,0.8065395095367847,0.21946495401651475,0.5621431290445376,0.7033043502480593
45,0.5,0.6651982378854625,1.0,0.7989417989417988,0.2159588318352423,0.6651272220285813,0.764155122901051
46,0.5,0.6681222707423581,1.0,0.8010471204188481,0.21739636193067863,0.585999312005504,0.7138173166164693
47,0.5,0.6486486486486487,1.0,0.7868852459016393,0.21781588871102056,0.6373308404558404,0.7298556654840846
48,0.5,0.6304347826086957,1.0,0.7733333333333333,0.2299901931562874,0.5910344827586207,0.6801860941135058
49,0.5,0.6824034334763949,1.0,0.8112244897959184,0.21199449487247077,0.5971443141254462,0.7347875638462051
